ZipCode,PrimaryRecord,Population,HouseholdsPerZipcode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,Latitude,Longitude,Elevation,State,StateFullName,CityType,CityAliasAbbreviation,AreaCode,City,CityAliasName,County,CountyFIPS,StateFIPS,TimeZone,DayLightSaving,MSA,PMSA,CSA,CBSA,CBSA_DIV,CBSA_Type,CBSA_Name,MSA_Name,PMSA_Name,Region,Division,MailingName,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,BusinessEmploymentFlag,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,CongressionalDistrict,CongressionalLandArea,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PreferredLastLineKey,ClassificationCode,MultiCounty,CSAName,CBSA_Div_Name,CityStateKey,PopulationEstimate,LandArea,WaterArea,CityAliasCode,CityMixedCase,CityAliasMixedCase,BoxCount,SFDU,MFDU,StateANSI,CountyANSI,ZIPIntroDate,AliasIntroDate,FacilityCode,UniqueZIPName,CityDeliveryIndicator,CarrierRouteRateSortation,FinanceNumber
43046,P,3358,1631,3318,4,16,3,0,2,9,1638,1720,2.43,134700,48125,40.7,40.3,41,39.898461,-82.548058,898,OH,Ohio,P,,740,MILLERSPORT,MILLERSPORT,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,70,1506,10914,34239, ,0,0,0,0,0,1674589,0,07|12|18,2848.15|1016.04|6826.47,1174,29,1684,X21903, ,Y,"Columbus-Marion-Chillicothe, OH",,X21903,2852,27.21,0,,Millersport,Millersport,400,1150,0,39,45,<2004-10,<2004-10,P,,N,C,385278
43102,P,3886,1441,3825,4,21,10,0,3,10,1930,1956,2.83,102600,42088,35.8,35.5,36.1,39.648529,-82.749343,898,OH,Ohio,P,,740,AMANDA,AMANDA,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,41,364,2318,9491, ,0,0,0,0,0,1674589,0,07|18,2848.15|6826.47,1391,13,1749,X20060, ,Y,"Columbus-Marion-Chillicothe, OH",,X20060,3936,59.88,0,,Amanda,Amanda,292,1391,0,39,45,<2004-10,<2004-10,P,,N,C,380154
43107, ,2759,1092,2708,4,16,3,1,7,2,1383,1376,2.73,95400,44426,36.4,36,36.8,39.684221,-82.412319,898,OH,Ohio,N,,740,HIDEAWAY HLS,HIDE AWAY HILLS,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,N,59,1079,10672,44582, ,0,0,0,0,0,1674589,0,07|18,2848.15|6826.47,1256,46,1420,X21311, ,Y,"Columbus-Marion-Chillicothe, OH",,X21310,3428,27.84,0.09,,Hideaway Hls,Hide Away Hills,46,1094,162,39,45,<2004-10,2005-06,N,,Y,C,381015
43107, ,2759,1092,2708,4,16,3,1,7,2,1383,1376,2.73,95400,44426,36.4,36,36.8,39.684221,-82.412319,898,OH,Ohio,N,,740,BREMEN,HIDEAWAY HLS,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,59,1079,10672,44582, ,0,0,0,0,0,1674589,0,07|18,2848.15|6826.47,1256,46,1420,X20319, ,Y,"Columbus-Marion-Chillicothe, OH",,X21311,3428,27.84,0.09,A,Bremen,Hideaway Hls,46,1094,162,39,45,<2004-10,<2004-10,N,,Y,C,381015
43130,P,55707,22924,53561,1151,395,224,15,156,79,27796,27911,2.47,105200,37967,36.9,34.7,39.2,39.68518,-82.607992,898,OH,Ohio,P,,614/740,LANCASTER,LANCASTER,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,1413,20731,138588,586027, ,0,0,0,0,0,1674589,0,7,2848.15,23528,1589,26107,X21557, ,Y,"Columbus-Marion-Chillicothe, OH",,X21557,58114,169.66,0.27,,Lancaster,Lancaster,526,20505,1673,39,45,<2004-10,<2004-10,P,,Y,D,384263
43105,P,7704,2934,7597,15,43,17,0,8,15,3834,3870,2.7,135000,52230,38,37.2,39,39.865376,-82.617183,898,OH,Ohio,P,,740,BALTIMORE,BALTIMORE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,150,995,6975,30377, ,0,0,0,0,0,1674589,0,7,2848.15,3120,112,4015,X20144, ,Y,"Columbus-Marion-Chillicothe, OH",,X20144,8424,55.62,0.01,,Baltimore,Baltimore,75,2960,160,39,45,<2004-10,<2004-10,P,,Y,D,380427
43107,P,2759,1092,2708,4,16,3,1,7,2,1383,1376,2.73,95400,44426,36.4,36,36.8,39.684221,-82.412319,898,OH,Ohio,P,,740,BREMEN,BREMEN,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,59,1079,10672,44582, ,0,0,0,0,0,1674589,0,07|18,2848.15|6826.47,1256,46,1420,X20319, ,Y,"Columbus-Marion-Chillicothe, OH",,X20319,3428,27.84,0.09,,Bremen,Bremen,46,1094,162,39,45,<2004-10,<2004-10,P,,Y,C,381015
43112,P,3779,1423,3707,7,30,10,0,3,11,1927,1852,2.75,139900,58524,39.5,39.2,39.7,39.808767,-82.702584,898,OH,Ohio,P,,614/740,CARROLL,CARROLL,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,127,1217,7787,36051, ,0,0,0,0,0,1674589,0,7,2848.15,1531,87,1951,X20459, ,,"Columbus-Marion-Chillicothe, OH",,X20459,4210,32.82,0.02,,Carroll,Carroll,264,1516,2,39,45,<2004-10,<2004-10,P,,N,D,381372
43136,P,236,99,233,0,0,0,0,0,0,125,111,2.51,92100,40391,37,34.7,39.5,39.803007,-82.808146,898,OH,Ohio,P,,614,LITHOPOLIS,LITHOPOLIS,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,26,166,600,2508, ,0,0,0,0,0,1674589,0,7,2848.15,276,4,609,X21642, ,Y,"Columbus-Marion-Chillicothe, OH",,X21642,692,0.05,0,,Lithopolis,Lithopolis,242,259,0,39,45,<2004-10,<2004-10,P,,N,C,384529
43147,P,28137,9595,25969,1244,322,480,10,27,104,13965,14172,2.99,154200,75684,35.1,34.4,35.7,39.899895,-82.746661,898,OH,Ohio,P,,614/740,PICKERINGTON,PICKERINGTON,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,572,5436,30504,127351, ,0,0,0,0,0,1674589,0,12|07,1016.04|2848.15,13218,490,14646,X22423, ,Y,"Columbus-Marion-Chillicothe, OH",,X22423,39521,29.85,0.03,,Pickerington,Pickerington,364,11536,508,39,45,<2004-10,<2004-10,P,,Y,D,386615
43148,P,1834,700,1808,2,6,5,0,3,1,893,941,2.75,98700,34688,36.3,35.5,37.1,39.823684,-82.519785,898,OH,Ohio,P,,740,PLEASANTVILLE,PLEASANTVILLE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,21,156,746,3440, ,0,0,0,0,0,1674589,0,7,2848.15,616,3,2080,X22466, ,Y,"Columbus-Marion-Chillicothe, OH",,X22466,1694,23.94,0,,Pleasantville,Pleasantville,268,584,0,39,45,<2004-10,<2004-10,P,,N,C,386727
43150,P,1977,743,1945,2,10,0,0,10,1,983,994,2.8,93800,41771,36.2,36.3,36.1,39.77601,-82.412867,898,OH,Ohio,P,,740,RUSHVILLE,RUSHVILLE,FAIRFIELD,45,39,5,Y,1840,,198,18140,,Metro,"Columbus, OH","Columbus, OH MSA",,Midwest,East North Central,Y,21,105,317,1640, ,0,0,0,0,0,1674589,0,7,2848.15,659,3,856,X22693, ,Y,"Columbus-Marion-Chillicothe, OH",,X22693,1845,26.74,0.8,,Rushville,Rushville,165,659,0,39,45,<2004-10,<2004-10,P,,N,C,387294
