id,name,objcategory_id,status,lastmodifiedby,lastmodifieddate,domain
0,All,1,Active,system,2015-07-26 11:50:16,DEMO
1,TEST,1,Active,system,2015-07-26 11:50:16,TEST
100,X,101,Active,system,2015-07-05 22:05:45,DEMO
101,I,101,Active,system,2015-07-05 22:05:45,DEMO
102,II,101,Active,system,2015-07-05 22:05:45,DEMO
103,III,101,Active,system,2015-07-05 22:05:45,DEMO
104,IV,101,Active,system,2015-07-05 22:05:45,DEMO
120,General Aviation,101,Active,system,2015-07-05 22:05:45,DEMO
5200,Single Segment,5200,Active,system,2015-07-05 22:05:45,DEMO
